,q_i_s,b_i_s,e_i_s,f_i_s,r_i_s,init_prob,q_r_s,b_r_s,e_r_s,f_r_s,r_r_s,rev_probs,q_tr_shared,q_tr_difference,q_tr_added,q_tr_removed,e_tr_shared,e_tr_difference,e_tr_added,e_tr_removed,f_tr_shared,f_tr_difference,f_tr_added,f_tr_removed,r_tr_shared,r_tr_difference,r_tr_added,r_tr_removed,b_tr_shared,b_tr_difference,b_tr_added,b_tr_removed,rev_probs_tr,q_ts_shared,q_ts_difference,q_ts_added,q_ts_removed,e_ts_shared,e_ts_difference,e_ts_added,e_ts_removed,f_ts_shared,f_ts_difference,f_ts_added,f_ts_removed,r_ts_shared,r_ts_difference,r_ts_added,r_ts_removed,b_ts_shared,b_ts_difference,b_ts_added,b_ts_removed,rev_probs_ts
237,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-15.06804492890464,1.25,0.025,0.025,0.035,1.375,0.055,0.0,0.245,1.32,0.075,0.005,0.24,0.035,0.0,0.015,0.025,0.735,0.01,0.0,0.27,-12.911982830767442,1.265,0.05,0.005,0.03,1.455,0.07,0.0,0.18,1.41,0.03,0.0,0.2,0.04,0.0,0.03,0.015,0.81,0.0,0.01,0.19,-12.911982830767442
238,"['Z.atleast', 'Z.exists']","['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-19.057028976468914,"['Z.atleast', 'Z.exists']","['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-19.057028976468914,1.27,0.035,0.015,0.075,1.385,0.065,0.0,0.385,1.28,0.1,0.005,0.35,0.1,0.0,0.01,0.05,0.78,0.01,0.045,0.395,-14.08939228412075,1.28,0.08,0.0,0.06,1.585,0.095,0.0,0.205,1.395,0.06,0.005,0.215,0.115,0.0,0.03,0.025,0.95,0.005,0.025,0.21,-14.08939228412075
239,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.32,0.015,0.02,0.035,1.35,0.06,0.0,0.295,1.305,0.055,0.0,0.315,0.035,0.0,0.035,0.015,0.745,0.005,0.01,0.32,-13.328029219759792,1.3,0.06,0.025,0.015,1.545,0.1,0.0,0.145,1.51,0.045,0.0,0.155,0.035,0.0,0.025,0.015,0.92,0.01,0.015,0.155,-13.328029219759792
240,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.15,0.045,0.015,0.03,1.345,0.08,0.0,0.225,1.265,0.09,0.01,0.23,0.07,0.0,0.015,0.02,0.73,0.03,0.01,0.2,-12.863734393217742,1.16,0.035,0.01,0.035,1.385,0.06,0.005,0.185,1.35,0.04,0.005,0.175,0.07,0.0,0.005,0.02,0.72,0.0,0.01,0.21,-12.863734393217742
241,['Z.atleast'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-17.552951579692643,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,1.315,0.035,0.035,0.075,1.365,0.125,0.005,0.34,1.305,0.085,0.005,0.34,0.065,0.0,0.04,0.04,0.825,0.035,0.035,0.305,-14.688376480184642,1.345,0.075,0.025,0.04,1.49,0.065,0.01,0.26,1.43,0.045,0.005,0.265,0.08,0.0,0.035,0.025,0.88,0.04,0.04,0.235,-14.688376480184642
242,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.21,0.015,0.055,0.03,1.385,0.055,0.0,0.21,1.31,0.07,0.005,0.23,0.04,0.0,0.035,0.02,0.74,0.01,0.045,0.18,-13.061739542666796,1.26,0.06,0.0,0.015,1.44,0.06,0.0,0.175,1.38,0.06,0.0,0.165,0.04,0.0,0.005,0.02,0.765,0.01,0.01,0.185,-13.061739542666796
243,['Z.forall'],"['not_operator(B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-10.568235259574376,1.285,0.055,0.02,0.08,1.38,0.07,0.0,0.35,1.275,0.085,0.01,0.35,0.1,0.0,0.035,0.045,0.785,0.02,0.03,0.32,-14.403387468452285,1.315,0.09,0.01,0.05,1.565,0.065,0.0,0.26,1.435,0.04,0.005,0.25,0.115,0.0,0.02,0.035,0.92,0.015,0.01,0.255,-14.403387468452285
244,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['colour'],[],-8.083328608786376,['Z.atleast'],[],"['Z.equal(xN,D)']",['size'],[],-8.083328608786376,1.25,0.025,0.05,0.035,1.44,0.105,0.0,0.195,1.365,0.08,0.0,0.255,0.035,0.0,0.07,0.01,0.81,0.015,0.04,0.205,-13.804738938876731,1.225,0.08,0.02,0.03,1.47,0.045,0.0,0.22,1.4,0.02,0.0,0.24,0.04,0.0,0.03,0.01,0.825,0.0,0.04,0.22,-13.804738938876731
245,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,1.165,0.04,0.02,0.035,1.34,0.065,0.0,0.245,1.22,0.085,0.01,0.245,0.07,0.0,0.02,0.03,0.685,0.015,0.03,0.25,-12.747190142985303,1.19,0.045,0.005,0.03,1.415,0.08,0.0,0.18,1.335,0.075,0.0,0.175,0.08,0.0,0.01,0.02,0.735,0.0,0.015,0.2,-12.747190142985303
246,"['Z.atleast', 'Z.atleast']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,"['Z.atleast', 'Z.atleast']","['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-21.254253554805135,1.36,0.03,0.055,0.07,1.435,0.075,0.005,0.325,1.345,0.05,0.005,0.36,0.065,0.0,0.055,0.02,0.835,0.005,0.035,0.335,-15.114316689076624,1.435,0.065,0.005,0.03,1.62,0.075,0.005,0.22,1.535,0.04,0.01,0.225,0.085,0.0,0.015,0.015,0.95,0.01,0.035,0.22,-15.114316689076624
247,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size', 'colour']",[],-21.64729614091474,"['Z.exists', 'Z.exists']",[],"['Z.equal(xN,xO,G)']",['colour'],[],-7.67786350067821,1.19,0.04,0.02,0.03,1.36,0.05,0.0,0.22,1.295,0.09,0.005,0.2,0.03,0.0,0.005,0.03,0.705,0.0,0.02,0.26,-12.602065712166516,1.2,0.05,0.01,0.03,1.385,0.045,0.0,0.21,1.365,0.04,0.0,0.19,0.03,0.0,0.005,0.03,0.72,0.0,0.01,0.225,-12.602065712166516
