,q_i_s,b_i_s,e_i_s,f_i_s,r_i_s,init_prob,q_r_s,b_r_s,e_r_s,f_r_s,r_r_s,rev_probs,q_tr_shared,q_tr_difference,q_tr_added,q_tr_removed,e_tr_shared,e_tr_difference,e_tr_added,e_tr_removed,f_tr_shared,f_tr_difference,f_tr_added,f_tr_removed,r_tr_shared,r_tr_difference,r_tr_added,r_tr_removed,b_tr_shared,b_tr_difference,b_tr_added,b_tr_removed,rev_probs_tr,q_ts_shared,q_ts_difference,q_ts_added,q_ts_removed,e_ts_shared,e_ts_difference,e_ts_added,e_ts_removed,f_ts_shared,f_ts_difference,f_ts_added,f_ts_removed,r_ts_shared,r_ts_difference,r_ts_added,r_ts_removed,b_ts_shared,b_ts_difference,b_ts_added,b_ts_removed,rev_probs_ts
10,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['size'],[],-8.083328608786376,"['Z.exactly', 'Z.forall']","['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size']",[],-19.057028976468914,1.305,0.065,0.01,0.07,1.425,0.065,0.005,0.38,1.295,0.035,0.01,0.38,0.115,0.0,0.03,0.035,0.825,0.01,0.015,0.405,-14.295367227291035,1.37,0.07,0.01,0.025,1.64,0.075,0.0,0.19,1.545,0.065,0.0,0.17,0.13,0.0,0.005,0.03,0.925,0.01,0.04,0.205,-14.295367227291035
11,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.26,0.045,0.02,0.05,1.405,0.075,0.005,0.235,1.325,0.105,0.01,0.265,0.04,0.0,0.035,0.01,0.785,0.015,0.045,0.26,-13.761501945136372,1.315,0.065,0.005,0.02,1.405,0.055,0.005,0.22,1.38,0.045,0.005,0.215,0.03,0.0,0.01,0.02,0.785,0.005,0.015,0.26,-13.761501945136372
12,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour', 'size']",['contact'],-36.427658998367605,"['Z.exactly', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)', 'Z.equal(xN,D)']","['colour', 'size', 'colour', 'size', 'size']",['contact'],-45.20413478771392,1.22,0.02,0.01,0.045,1.38,0.075,0.0,0.265,1.275,0.075,0.01,0.255,0.1,0.0,0.02,0.04,0.745,0.015,0.035,0.26,-13.378226742557167,1.245,0.035,0.02,0.015,1.545,0.09,0.0,0.175,1.405,0.06,0.01,0.19,0.11,0.0,0.03,0.025,0.88,0.0,0.025,0.175,-13.378226742557167
13,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour', 'colour', 'colour']",['contact'],-34.23043442003138,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.32,0.025,0.025,0.065,1.385,0.085,0.0,0.31,1.32,0.08,0.0,0.335,0.05,0.0,0.035,0.01,0.77,0.03,0.02,0.305,-14.274135534652615,1.35,0.09,0.01,0.025,1.55,0.095,0.0,0.185,1.5,0.055,0.0,0.2,0.05,0.0,0.025,0.01,0.885,0.01,0.015,0.2,-14.274135534652615
14,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.15,0.03,0.02,0.035,1.305,0.08,0.0,0.195,1.245,0.1,0.005,0.205,0.035,0.0,0.02,0.015,0.66,0.01,0.005,0.205,-12.234396784038829,1.195,0.025,0.005,0.025,1.395,0.08,0.0,0.13,1.365,0.055,0.005,0.13,0.035,0.0,0.01,0.015,0.715,0.0,0.025,0.14,-12.234396784038829
15,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-16.16665721857275,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-16.16665721857275,1.3,0.05,0.045,0.06,1.415,0.07,0.005,0.365,1.285,0.075,0.015,0.385,0.12,0.0,0.05,0.04,0.86,0.025,0.035,0.345,-14.915660511819292,1.32,0.055,0.03,0.065,1.6,0.12,0.0,0.26,1.435,0.04,0.02,0.265,0.105,0.0,0.03,0.05,0.98,0.0,0.05,0.265,-14.915660511819292
16,['Z.atleast'],"['J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour', 'size', 'colour']",[],-29.03747756914117,['Z.atleast'],"['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'colour']",[],-22.052761249022907,1.255,0.045,0.03,0.035,1.45,0.065,0.005,0.2,1.39,0.08,0.0,0.22,0.045,0.0,0.04,0.015,0.815,0.01,0.04,0.2,-13.876669897681547,1.29,0.065,0.01,0.02,1.49,0.06,0.01,0.15,1.44,0.03,0.005,0.155,0.035,0.0,0.03,0.025,0.835,0.0,0.04,0.145,-13.876669897681547
17,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.265,0.025,0.035,0.02,1.385,0.065,0.005,0.3,1.295,0.05,0.015,0.285,0.08,0.0,0.03,0.055,0.775,0.015,0.02,0.3,-13.87936517870106,1.25,0.04,0.015,0.03,1.535,0.08,0.0,0.215,1.41,0.06,0.0,0.195,0.1,0.0,0.015,0.04,0.885,0.03,0.015,0.18,-13.87936517870106
18,"['Z.atleast', 'Z.atleast']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.305,0.035,0.01,0.095,1.385,0.09,0.0,0.31,1.31,0.105,0.0,0.32,0.035,0.0,0.02,0.01,0.77,0.02,0.025,0.32,-14.087415786011407,1.395,0.095,0.015,0.005,1.525,0.08,0.005,0.185,1.48,0.07,0.005,0.195,0.04,0.0,0.02,0.01,0.89,0.02,0.025,0.175,-14.087415786011407
19,['Z.atleast'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-17.552951579692643,['Z.atleast'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-10.568235259574376,1.13,0.05,0.02,0.015,1.325,0.05,0.005,0.185,1.255,0.075,0.01,0.185,0.055,0.0,0.01,0.015,0.685,0.025,0.025,0.17,-12.446628756526916,1.165,0.025,0.015,0.015,1.41,0.075,0.0,0.145,1.365,0.05,0.0,0.15,0.055,0.0,0.015,0.015,0.715,0.0,0.01,0.165,-12.446628756526916
20,"['Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'colour', 'size']",[],-31.927849327037336,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.315,0.03,0.04,0.065,1.44,0.08,0.0,0.36,1.315,0.085,0.005,0.365,0.095,0.0,0.04,0.04,0.85,0.015,0.04,0.37,-14.675368674359323,1.385,0.065,0.015,0.025,1.645,0.08,0.0,0.19,1.485,0.045,0.0,0.2,0.12,0.0,0.025,0.015,0.99,0.005,0.025,0.2,-14.675368674359323
21,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.315,0.02,0.005,0.035,1.355,0.095,0.0,0.235,1.305,0.07,0.005,0.25,0.045,0.0,0.035,0.025,0.725,0.01,0.055,0.235,-13.443928084780856,1.3,0.075,0.005,0.02,1.505,0.065,0.0,0.19,1.45,0.055,0.0,0.19,0.055,0.0,0.01,0.015,0.805,0.02,0.02,0.21,-13.443928084780856
22,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.205,0.045,0.03,0.04,1.405,0.07,0.005,0.27,1.31,0.085,0.015,0.255,0.085,0.0,0.015,0.04,0.795,0.03,0.02,0.27,-14.005128806315334,1.245,0.025,0.0,0.05,1.45,0.085,0.0,0.265,1.385,0.055,0.01,0.255,0.085,0.0,0.02,0.04,0.825,0.005,0.015,0.27,-14.005128806315334
23,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,1.29,0.04,0.015,0.09,1.375,0.09,0.0,0.305,1.31,0.105,0.0,0.31,0.03,0.0,0.025,0.02,0.75,0.015,0.025,0.32,-13.96780837717947,1.315,0.095,0.015,0.04,1.52,0.075,0.0,0.215,1.5,0.05,0.0,0.225,0.04,0.0,0.02,0.01,0.83,0.0,0.045,0.2,-13.96780837717947
24,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.12,0.045,0.015,0.035,1.315,0.06,0.0,0.23,1.245,0.08,0.005,0.225,0.05,0.0,0.01,0.02,0.665,0.02,0.005,0.245,-12.306084934955573,1.175,0.035,0.015,0.01,1.41,0.095,0.0,0.15,1.35,0.06,0.0,0.155,0.045,0.0,0.02,0.02,0.755,0.005,0.01,0.15,-12.306084934955573
25,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.29,0.06,0.055,0.065,1.425,0.07,0.0,0.345,1.3,0.065,0.01,0.355,0.09,0.0,0.04,0.04,0.815,0.025,0.02,0.345,-14.652609045986974,1.33,0.095,0.01,0.05,1.58,0.075,0.005,0.215,1.445,0.035,0.01,0.21,0.1,0.0,0.02,0.035,0.935,0.01,0.025,0.215,-14.652609045986974
26,['Z.atleast'],[],"['Z.equal(xN,D)']",['size'],[],-8.083328608786376,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.25,0.035,0.015,0.05,1.365,0.08,0.0,0.23,1.32,0.07,0.005,0.23,0.045,0.0,0.02,0.025,0.79,0.01,0.02,0.23,-13.236488162888563,1.31,0.06,0.01,0.01,1.515,0.11,0.005,0.125,1.465,0.07,0.005,0.14,0.055,0.0,0.02,0.01,0.855,0.0,0.035,0.145,-13.236488162888563
27,"['Z.exists', 'Z.exactly']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-22.45822635813107,"['Z.exists', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,xO,G)', 'Z.hor_operator(xN,xO,I)']",['size'],['contact'],-14.374897749344695,1.275,0.05,0.0,0.03,1.46,0.09,0.0,0.27,1.335,0.085,0.015,0.26,0.09,0.0,0.01,0.035,0.84,0.015,0.045,0.255,-14.09721443785247,1.295,0.045,0.0,0.025,1.58,0.065,0.0,0.185,1.465,0.06,0.005,0.185,0.105,0.0,0.015,0.025,0.905,0.01,0.015,0.19,-14.09721443785247
28,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.39,0.045,0.02,0.02,1.425,0.085,0.0,0.265,1.34,0.085,0.0,0.285,0.035,0.0,0.035,0.015,0.795,0.02,0.015,0.285,-14.44579673722344,1.36,0.06,0.01,0.03,1.48,0.08,0.0,0.23,1.42,0.05,0.0,0.25,0.04,0.0,0.025,0.005,0.81,0.0,0.015,0.26,-14.44579673722344
29,"['Z.exists', 'Z.exists']",[],"['Z.hor_operator(xN,xO,I)']",[],['contact'],-6.29156913955832,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-20.26100177979485,1.175,0.035,0.005,0.025,1.335,0.055,0.0,0.21,1.26,0.085,0.005,0.21,0.055,0.0,0.01,0.015,0.685,0.02,0.01,0.215,-12.466573676754738,1.155,0.05,0.015,0.015,1.44,0.065,0.005,0.15,1.4,0.025,0.005,0.17,0.055,0.0,0.025,0.01,0.745,0.0,0.03,0.165,-12.466573676754738
30,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.greater']","['colour', 'size', 'colour', 'size']",[],-29.730624749701118,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.greater']","['colour', 'size', 'colour', 'size']",[],-29.730624749701118,1.295,0.035,0.025,0.085,1.375,0.1,0.0,0.345,1.285,0.09,0.005,0.35,0.11,0.0,0.03,0.03,0.785,0.03,0.015,0.345,-14.375916518663683,1.355,0.065,0.025,0.035,1.58,0.08,0.0,0.215,1.47,0.06,0.0,0.21,0.12,0.0,0.015,0.02,0.9,0.01,0.025,0.22,-14.375916518663683
31,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour']",['contact'],-27.245718099913116,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'size']",['contact'],-27.245718099913116,1.245,0.015,0.015,0.055,1.32,0.07,0.0,0.285,1.235,0.085,0.005,0.3,0.045,0.0,0.035,0.025,0.715,0.01,0.035,0.3,-12.936956122480307,1.28,0.045,0.01,0.025,1.495,0.105,0.0,0.15,1.43,0.05,0.0,0.18,0.04,0.0,0.04,0.02,0.845,0.0,0.03,0.17,-12.936956122480307
32,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-21.35961406846296,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.275,0.015,0.03,0.035,1.43,0.06,0.0,0.33,1.3,0.07,0.0,0.32,0.095,0.0,0.035,0.045,0.81,0.04,0.005,0.3,-13.859867176313912,1.285,0.055,0.005,0.025,1.57,0.065,0.0,0.215,1.43,0.05,0.005,0.22,0.11,0.0,0.02,0.025,0.88,0.015,0.02,0.22,-13.859867176313912
33,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.285,0.08,0.04,0.045,1.425,0.11,0.01,0.285,1.345,0.13,0.005,0.305,0.035,0.0,0.045,0.02,0.825,0.015,0.04,0.32,-14.30834597583494,1.285,0.085,0.01,0.065,1.485,0.09,0.005,0.215,1.485,0.04,0.005,0.215,0.045,0.0,0.015,0.015,0.875,0.015,0.065,0.195,-14.30834597583494
34,['Z.atleast'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'orientation']",[],-16.45433929002453,['Z.atleast'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'orientation']",[],-16.45433929002453,1.14,0.03,0.01,0.035,1.375,0.05,0.0,0.195,1.3,0.07,0.005,0.195,0.045,0.0,0.01,0.015,0.68,0.0,0.03,0.195,-12.546154890340322,1.14,0.055,0.015,0.015,1.42,0.05,0.0,0.17,1.38,0.045,0.0,0.165,0.04,0.0,0.01,0.02,0.68,0.0,0.025,0.18,-12.546154890340322
35,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-16.45433929102453,['Z.exactly'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-16.45433929102453,1.32,0.035,0.025,0.06,1.33,0.08,0.005,0.365,1.24,0.085,0.01,0.355,0.09,0.0,0.025,0.04,0.78,0.03,0.02,0.36,-14.117056058703156,1.345,0.105,0.01,0.025,1.59,0.07,0.0,0.22,1.46,0.055,0.0,0.235,0.105,0.0,0.03,0.015,0.9,0.005,0.02,0.235,-14.117056058703156
36,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-16.45433929102453,"['Z.atleast', 'Z.atleast']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-20.443323338588804,1.25,0.035,0.02,0.045,1.42,0.07,0.0,0.26,1.34,0.1,0.005,0.265,0.055,0.0,0.015,0.015,0.775,0.015,0.005,0.28,-13.433016204074885,1.25,0.03,0.015,0.045,1.49,0.075,0.0,0.2,1.425,0.04,0.0,0.215,0.04,0.0,0.035,0.025,0.81,0.0,0.03,0.22,-13.433016204074885
37,"['Z.atleast', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size', 'size']",[],-27.833504764815235,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-16.16665721857275,1.255,0.015,0.035,0.065,1.455,0.12,0.005,0.3,1.35,0.075,0.015,0.285,0.1,0.0,0.02,0.045,0.86,0.01,0.07,0.28,-14.527265767858623,1.325,0.06,0.005,0.02,1.595,0.075,0.0,0.205,1.46,0.06,0.0,0.21,0.135,0.0,0.015,0.01,0.955,0.01,0.005,0.215,-14.527265767858623
38,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.255,0.025,0.04,0.065,1.31,0.11,0.0,0.29,1.255,0.105,0.0,0.32,0.045,0.0,0.035,0.005,0.705,0.0,0.04,0.345,-13.443445622759935,1.325,0.06,0.01,0.025,1.475,0.1,0.0,0.18,1.415,0.06,0.0,0.21,0.035,0.0,0.04,0.01,0.87,0.025,0.01,0.165,-13.443445622759935
39,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-13.969432640236532,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-15.06804492890464,1.195,0.025,0.03,0.02,1.345,0.06,0.0,0.23,1.25,0.06,0.01,0.245,0.05,0.0,0.035,0.03,0.68,0.01,0.035,0.235,-12.659623852472542,1.19,0.05,0.005,0.02,1.51,0.055,0.0,0.11,1.465,0.04,0.0,0.105,0.07,0.0,0.005,0.01,0.76,0.0,0.025,0.125,-12.659623852472542
40,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'size']",[],-22.74590842958285,"['Z.exists', 'Z.forall']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.761192109464586,1.33,0.045,0.025,0.04,1.37,0.095,0.0,0.35,1.295,0.075,0.0,0.37,0.085,0.0,0.045,0.025,0.775,0.015,0.03,0.375,-14.234052869393166,1.29,0.08,0.015,0.045,1.515,0.08,0.0,0.23,1.415,0.065,0.0,0.245,0.1,0.0,0.02,0.01,0.875,0.015,0.01,0.23,-14.234052869393166
41,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.245,0.025,0.045,0.03,1.37,0.085,0.0,0.265,1.335,0.055,0.005,0.285,0.05,0.0,0.035,0.02,0.76,0.02,0.0,0.28,-13.185028926909858,1.3,0.025,0.01,0.035,1.49,0.085,0.0,0.18,1.435,0.055,0.005,0.18,0.045,0.0,0.02,0.025,0.845,0.01,0.01,0.185,-13.185028926909858
42,['Z.atleast'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-10.568235259574376,"['Z.atleast', 'Z.forall']","['J(B,B)', 'not_operator(B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['orientation', 'orientation']",[],-20.731005410040588,1.265,0.01,0.03,0.075,1.395,0.05,0.0,0.385,1.275,0.075,0.005,0.345,0.09,0.0,0.015,0.06,0.79,0.02,0.01,0.38,-14.097501586282915,1.32,0.07,0.015,0.03,1.6,0.085,0.0,0.195,1.505,0.035,0.0,0.205,0.125,0.0,0.02,0.02,0.885,0.015,0.03,0.195,-14.097501586282915
43,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-13.969432640236532,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-13.969432640236532,1.255,0.02,0.055,0.04,1.315,0.105,0.0,0.26,1.285,0.085,0.0,0.27,0.035,0.0,0.025,0.015,0.73,0.015,0.01,0.27,-13.498512591944047,1.295,0.095,0.005,0.015,1.48,0.07,0.005,0.18,1.43,0.035,0.005,0.195,0.04,0.0,0.025,0.01,0.845,0.0,0.01,0.215,-13.498512591944047
44,"['Z.exactly', 'Z.exists']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-17.958416687800806,"['Z.exactly', 'Z.exists']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-17.958416687800806,1.165,0.015,0.03,0.035,1.42,0.06,0.0,0.2,1.32,0.085,0.01,0.2,0.06,0.0,0.015,0.025,0.715,0.015,0.01,0.195,-12.922409095702264,1.23,0.03,0.01,0.005,1.405,0.08,0.0,0.175,1.345,0.045,0.0,0.18,0.07,0.0,0.015,0.015,0.735,0.01,0.01,0.19,-12.922409095702264
45,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.27,0.035,0.015,0.1,1.375,0.08,0.0,0.32,1.3,0.085,0.0,0.305,0.09,0.0,0.005,0.02,0.785,0.03,0.01,0.285,-14.440004397828927,1.35,0.06,0.015,0.04,1.555,0.12,0.0,0.195,1.45,0.085,0.01,0.21,0.075,0.0,0.035,0.03,0.91,0.005,0.05,0.22,-14.440004397828927
46,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-16.16665721857275,['Z.atleast'],[],"['Z.equal(xN,D)']",['size'],[],-8.083328608786376,1.21,0.04,0.055,0.035,1.39,0.12,0.0,0.205,1.34,0.09,0.005,0.23,0.035,0.0,0.045,0.025,0.745,0.015,0.095,0.215,-13.545759896248114,1.27,0.02,0.015,0.04,1.45,0.07,0.0,0.2,1.39,0.04,0.0,0.23,0.03,0.0,0.05,0.025,0.78,0.005,0.035,0.19,-13.545759896248114
47,"['Z.atmost', 'Z.exists']",[],"['Z.hor_operator(xN,xO,I)']",[],['contact'],-8.48879371789454,"['Z.atmost', 'Z.exists']",[],"['Z.hor_operator(xN,xO,I)']",[],['contact'],-8.48879371789454,1.27,0.055,0.01,0.065,1.415,0.09,0.0,0.355,1.29,0.1,0.01,0.335,0.1,0.0,0.02,0.05,0.81,0.015,0.05,0.37,-14.099484571291086,1.245,0.05,0.03,0.06,1.47,0.07,0.01,0.29,1.37,0.04,0.01,0.275,0.12,0.0,0.015,0.03,0.855,0.01,0.045,0.285,-14.099484571291086
48,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-16.16665721857275,"['Z.atleast', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.greater']","['colour', 'colour', 'size']",[],-23.844520719250962,1.345,0.025,0.02,0.03,1.355,0.105,0.0,0.265,1.315,0.095,0.0,0.28,0.035,0.0,0.03,0.015,0.75,0.015,0.035,0.29,-13.704185768326495,1.31,0.055,0.015,0.03,1.465,0.085,0.0,0.19,1.42,0.05,0.0,0.21,0.045,0.0,0.025,0.005,0.83,0.03,0.005,0.21,-13.704185768326495
49,"['Z.atleast', 'Z.exists']","['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-19.057028976468914,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.165,0.015,0.02,0.04,1.345,0.07,0.0,0.22,1.27,0.07,0.01,0.225,0.065,0.0,0.015,0.02,0.68,0.015,0.025,0.21,-12.819138873877744,1.145,0.05,0.015,0.025,1.44,0.07,0.0,0.18,1.325,0.07,0.005,0.2,0.075,0.0,0.03,0.015,0.75,0.01,0.02,0.19,-12.819138873877744
50,"['Z.atleast', 'Z.exists']","['J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-23.55683864679918,"['Z.atleast', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.less', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour', 'size']",['contact'],-29.442942678249334,1.29,0.04,0.045,0.07,1.43,0.105,0.005,0.305,1.29,0.075,0.005,0.34,0.08,0.0,0.055,0.02,0.835,0.01,0.045,0.29,-14.696695534921307,1.365,0.085,0.015,0.025,1.485,0.07,0.0,0.25,1.395,0.045,0.0,0.27,0.09,0.0,0.035,0.02,0.855,0.01,0.01,0.265,-14.696695534921307
